timestamp,pressure,temperature
2026-03-14T10:00:00Z,6.00,22.50
2026-03-14T10:00:01Z,6.21,22.53
2026-03-14T10:00:02Z,6.42,22.56
2026-03-14T10:00:03Z,6.63,22.59
2026-03-14T10:00:04Z,6.83,22.62
2026-03-14T10:00:05Z,7.04,22.65
2026-03-14T10:00:06Z,7.24,22.68
2026-03-14T10:00:07Z,7.43,22.71
2026-03-14T10:00:08Z,7.63,22.74
2026-03-14T10:00:09Z,7.82,22.77
2026-03-14T10:00:10Z,8.00,22.80
2026-03-14T10:00:11Z,8.18,22.83
2026-03-14T10:00:12Z,8.35,22.86
2026-03-14T10:00:13Z,8.52,22.89
2026-03-14T10:00:14Z,8.68,22.92
2026-03-14T10:00:15Z,8.83,22.95
2026-03-14T10:00:16Z,8.97,22.98
2026-03-14T10:00:17Z,9.11,23.01
2026-03-14T10:00:18Z,9.24,23.04
2026-03-14T10:00:19Z,9.35,23.07
2026-03-14T10:00:20Z,9.46,23.10
2026-03-14T10:00:21Z,9.56,23.13
2026-03-14T10:00:22Z,9.65,23.16
2026-03-14T10:00:23Z,9.73,23.19
2026-03-14T10:00:24Z,9.80,23.22
2026-03-14T10:00:25Z,9.86,23.25
2026-03-14T10:00:26Z,9.91,23.28
2026-03-14T10:00:27Z,9.95,23.31
2026-03-14T10:00:28Z,9.98,23.34
2026-03-14T10:00:29Z,9.99,23.37
2026-03-14T10:00:30Z,10.00,23.40
2026-03-14T10:00:31Z,9.99,23.43
2026-03-14T10:00:32Z,9.98,23.46
2026-03-14T10:00:33Z,9.95,23.49
2026-03-14T10:00:34Z,9.91,23.52
2026-03-14T10:00:35Z,9.86,23.55
2026-03-14T10:00:36Z,9.80,23.58
2026-03-14T10:00:37Z,9.73,23.61
2026-03-14T10:00:38Z,9.65,23.64
2026-03-14T10:00:39Z,9.56,23.67
2026-03-14T10:00:40Z,12.80,23.70
2026-03-14T10:00:41Z,12.80,23.73
2026-03-14T10:00:42Z,12.80,23.76
2026-03-14T10:00:43Z,12.80,23.79
2026-03-14T10:00:44Z,8.97,23.82
2026-03-14T10:00:45Z,8.83,23.85
2026-03-14T10:00:46Z,8.68,23.88
2026-03-14T10:00:47Z,8.52,23.91
2026-03-14T10:00:48Z,8.35,23.94
2026-03-14T10:00:49Z,8.18,23.97
2026-03-14T10:00:50Z,8.00,24.00
2026-03-14T10:00:51Z,7.82,24.03
2026-03-14T10:00:52Z,7.63,24.06
2026-03-14T10:00:53Z,7.43,24.09
2026-03-14T10:00:54Z,7.24,24.12
2026-03-14T10:00:55Z,7.04,24.15
2026-03-14T10:00:56Z,6.83,24.18
2026-03-14T10:00:57Z,6.63,24.21
2026-03-14T10:00:58Z,6.42,24.24
2026-03-14T10:00:59Z,6.21,24.27
